Date,Type,Transaction ID,Received Quantity,Received Currency,Received Cost Basis (USD),Received Wallet,Received Address,Received Comment,Sent Quantity,Sent Currency,Sent Cost Basis (USD),Sent Wallet,Sent Address,Sent Comment,Fee Amount,Fee Currency,Fee Cost Basis (USD),Realized Return (USD),Fee Realized Return (USD),Transaction Hash
09/13/2024 15:37:34,TRADE,019223e4-58ed-7b32-ac7e-b563617498ed,586.499218,USDC,586.5,Coinbase USDC Wallet,,,586.446438,USDT,586.49,Coinbase USDT Wallet,,,,,,0.01,,
09/13/2024 15:36:19,BUY,019223e4-5a35-7353-b7e0-ab1eee44a383,586.42,USDT,586.46,Coinbase USDT Wallet,,,586.4551852,USD,,Coinbase Cash (USD),,,0.00586455,USD,,,,
09/14/2024 2:47:01,BUY,019223e4-57a1-7e3f-82bc-61b00cd9fea0,500,USDC,500,Coinbase USDC Wallet,,,500,USD,,Coinbase Cash (USD),,,,,,,,
09/13/2024 15:40:41,SELL,019223e4-5795-7a79-94be-bba488a08898,500,USD,,Coinbase Cash (USD),,,500,USDC,500,Coinbase USDC Wallet,,,,,,0,,
09/18/2024 9:00:23,SEND,019223e4-5aec-7180-ac96-05c566d5e16f,,,,,,,300.672124,USDC,300.67,Coinbase USDC Wallet,,,,,,0,,
09/13/2024 16:09:45,SELL,019223e4-579d-785d-8a49-44cfb322166a,300,USD,,Coinbase Cash (USD),,,300,USDC,300,Coinbase USDC Wallet,,,,,,0,,
09/18/2024 9:00:25,SEND,019223e4-5b2f-76db-a4eb-befb7dced9ae,,,,,,,2.01984888,SOL,279.85,Coinbase SOL Wallet,,,,,,-15.86,,
09/13/2024 15:43:15,BUY,019223e4-5799-7c23-be69-1d1fbb426719,259,USDC,259,Coinbase USDC Wallet,,,259,USD,,Coinbase Cash (USD),,,,,,,,
09/13/2024 16:12:18,TRADE,019223e4-58f1-7def-bfd8-56132ffa724a,1.05191529,SOL,145.5,Coinbase SOL Wallet,,,145.504323,USDC,145.5,Coinbase USDC Wallet,,,,,,0,,
09/13/2024 16:12:23,TRANSFER,019223e4-5b2c-7a50-b5d0-d9417ab79843,1.05191529,SOL,0,Coinbase Staked SOL,,"Staked SOL
on Coinbase",1.05191529,SOL,0,Coinbase SOL Wallet,,"Staked SOL
on Coinbase",,,,0,,
09/17/2024 2:00:06,TRANSFER,019223e4-5b44-7c98-8ecc-7ded93c7c5ac,1.05628402,SOL,0,Coinbase SOL Wallet,,,1.05628402,SOL,0,Coinbase Staked SOL,,,,,,0,,
09/14/2024 12:10:01,BUY,019223e4-5a17-7e8a-aaf9-1d0893429d85,0.96314501,SOL,133.63,Coinbase SOL Wallet,,,132.0471809,USD,,Coinbase Cash (USD),,,1.58456617,USD,,,,
09/18/2024 9:00:27,SEND,019223e4-5b5d-7a72-ae3e-01ca6b80fa5e,,,,,,,20.685297,TIA,98.94,Coinbase TIA Wallet,,,,,,9.43,,
09/13/2024 2:55:43,BUY,019223e4-5791-7460-bd47-b1212c04ff41,100,USDC,100,Coinbase USDC Wallet,,,100,USD,,Coinbase Cash (USD),,,,,,,,
09/14/2024 12:12:53,TRADE,019223e4-5a05-7464-8e94-ef8305b4e6f1,168.93004,XRP,99.04,Coinbase XRP Wallet,,,99.04368245,USDC,99.05,Coinbase USDC Wallet,,,1.18852419,USDC,1.19,-1.2,0,
09/18/2024 9:00:29,SEND,019223e4-5b47-7c70-b084-b3028187ee9c,,,,,,,168.997781,XRP,99.08,Coinbase XRP Wallet,,,,,,-1.68,,
09/15/2024 8:35:51,TRADE,019223e4-59ed-776a-9f50-1e68c2de7459,18.68,TIA,89.35,Coinbase TIA Wallet,,,89.34644,USDC,89.35,Coinbase USDC Wallet,,,1.07215728,USDC,1.07,-1.07,0,
09/14/2024 2:40:33,BUY,019223e4-57cb-7100-bcc9-cdfc2b8bdb6f,3538241.601,SHIB,50,Coinbase SHIB Wallet,,,50,USD,,Coinbase Cash (USD),,,,,,,,
09/18/2024 9:00:30,SEND,019223e4-5ae3-72b0-9b40-ae1d827a3766,,,,,,,0.00079286,BTC,48.65,Coinbase BTC Wallet,,,,,,-0.95,,
09/18/2024 9:00:31,SEND,019223e4-5b5a-7953-b7f5-2fb4c0dd84f8,,,,,,,3538241.601,SHIB,50,Coinbase SHIB Wallet,,,,,,-3.34,,
09/13/2024 21:05:35,BUY,019223e4-5a29-7ea8-99fc-b657d5906c7f,5.78980119,DOT,26.02,Coinbase DOT Wallet,,,25.70671728,USD,,Coinbase Cash (USD),,,0.30848061,USD,,,,
09/14/2024 2:31:39,TRADE,019223e4-5873-76f7-9490-8dc1b680d08d,0.00041623,BTC,25.65,Coinbase BTC Wallet,,,5.79220525,DOT,26.03,Coinbase DOT Wallet,,,,,,-0.38,,
09/14/2024 2:33:05,BUY,019223e4-577d-7aaa-a460-6a0d24d35f31,0.00037663,BTC,23,Coinbase BTC Wallet,,,23,USD,,Coinbase Cash (USD),,,,,,,,
04/28/2024 2:32:55,TRADE,019223e4-57df-7b1e-b7cd-b7d75a92f9ce,10.567794,USDC,10.68,Coinbase USDC Wallet,,,0.00016801,BTC,11.01,Coinbase BTC Wallet,,,,,,-0.33,,
04/28/2024 2:35:51,TRADE,019223e4-5877-7d11-a565-deb92898a822,0.00319417,ETH,10.57,Coinbase ETH Wallet,,,10.567794,USDC,10.68,Coinbase USDC Wallet,,,,,,-0.11,,
04/28/2024 2:37:25,SEND,019223e4-5af4-7f41-8990-c5da04f6a0c8,,,,,,,0.00306817,ETH,10.15,Coinbase ETH Wallet,,,0.000126,ETH,0.42,-0.51,0,
07/10/2024 6:03:02,INCOME,019223e4-492d-7f08-bfa5-1c2bc0be33b4,386.8471954,VET,10,Coinbase VET Wallet,,,,,,,,,,,,,,
07/10/2024 6:12:50,TRADE,019223e4-5929-7f7b-aa17-123c71b936ff,0.06651872,SOL,9.85,Coinbase SOL Wallet,,,377.9742287,VET,9.77,Coinbase VET Wallet,,,3.87296669,VET,0.1,-0.02,0,
07/10/2024 6:12:56,TRANSFER,019223e4-5b1b-7df9-bd04-a6b2be8e5bab,0.06651872,SOL,0,Coinbase Staked SOL,,"Staked SOL
on Coinbase",0.06651872,SOL,0,Coinbase SOL Wallet,,"Staked SOL
on Coinbase",,,,0,,
09/15/2024 8:35:51,TRADE,019223e4-59f3-7b4a-b2e6-459465103556,1.99,TIA,9.52,Coinbase TIA Wallet,,,9.51618,USDC,9.52,Coinbase USDC Wallet,,,0.11419416,USDC,0.11,-0.11,0,
07/13/2024 10:00:04,TRANSFER,019223e4-5b3e-74f8-8c9a-fc0ab5d6c58d,0.06237438,SOL,0,Coinbase SOL Wallet,,,0.06237438,SOL,0,Coinbase Staked SOL,,,,,,0,,
07/17/2024 4:31:41,TRANSFER,019223e4-5b0d-71bf-b8d1-a5774b3f406d,7.4,MATIC,0,Coinbase Staked MATIC,,"Staked MATIC
on Coinbase",7.4,MATIC,0,Coinbase MATIC Wallet,,"Staked MATIC
on Coinbase",,,,0,,
07/15/2024 10:50:49,BUY,019223e4-5ad7-71a9-ba6b-2b5098b757aa,7.4,MATIC,3.96,Coinbase MATIC Wallet,,,3.93532,USD,,Coinbase Cash (USD),,,0.02361192,USD,,,,
07/14/2024 23:42:21,SEND,019223e4-5b21-754c-af5d-42f808aae5e5,,,,,,,0.02608616,SOL,3.86,Coinbase SOL Wallet,,,0.0001,SOL,0.01,0,0,
04/26/2024 11:19:15,TRADE,019223e4-57d7-77ed-9137-a8a7e5f90d5a,0.00004577,BTC,3,Coinbase BTC Wallet,,,0.41844932,NEAR,3,Coinbase NEAR Wallet,,,,,,0,,
04/26/2024 11:17:16,TRADE,019223e4-57d3-74e3-9629-b22de04edc76,0.00004579,BTC,3,Coinbase BTC Wallet,,,0.643546,AKT,3,Coinbase AKT Wallet,,,,,,0,,
04/26/2024 11:02:11,TRADE,019223e4-57cf-7711-bf93-2705b9beb00a,0.00004582,BTC,3,Coinbase BTC Wallet,,,30.88803089,VARA,3,Coinbase VARA Wallet,,,,,,0,,
04/26/2024 11:00:38,INCOME,019223e4-4924-7565-abd2-fdcf121be36e,30.88803089,VARA,3,Coinbase VARA Wallet,,,,,,,,,,,,,,
08/06/2024 18:32:54,TRADE,019223e4-5989-721e-a593-9853b2f597ab,5.46418838,ZETA,2.41,Coinbase ZETA Wallet,,,5.70599614,MATIC,3.05,Coinbase MATIC Wallet,,,0.12088974,MATIC,0.06,-0.69,-0.01,
08/05/2024 22:00:30,TRANSFER,019223e4-5b54-77d2-9829-68501f8019a1,5.82920431,MATIC,0,Coinbase MATIC Wallet,,,5.82920431,MATIC,0,Coinbase Staked MATIC,,,,,,0,,
07/14/2024 10:07:22,TRADE,019223e4-58bd-7f19-bee5-eb70454adbe2,1.999727,USDC,2.02,Coinbase USDC Wallet,,,0.01377805,SOL,2.04,Coinbase SOL Wallet,,,,,,-0.02,,
04/26/2024 11:19:45,TRADE,019223e4-57db-7015-b455-e6c7836fc93e,0.00003063,BTC,2.01,Coinbase BTC Wallet,,,51.04970986,VET,2,Coinbase VET Wallet,,,,,,0.01,,
06/14/2024 15:36:29,TRADE,019223e4-57e3-72f2-8cc2-851657ab59e7,0.00002853,BTC,2,Coinbase BTC Wallet,,,0.73557149,RON,2,Coinbase RONIN Wallet,,,0.0188608,RON,0.05,-0.05,0,
08/09/2024 22:21:50,SELL,019223e4-5a6b-7360-af8e-abaadefd73de,1.9996,USD,,Coinbase Cash (USD),,,4,ZETA,1.76,Coinbase ZETA Wallet,,,0.0239952,USD,,0.21,,
07/14/2024 10:10:50,SELL,019223e4-5781-7506-b8ae-cc8c8ddbde50,1.99,USD,,Coinbase Cash (USD),,,1.999727,USDC,2.02,Coinbase USDC Wallet,,,,,,-0.03,,
08/15/2024 4:53:00,BUY,019223e4-5785-7b6e-b22f-b9eed8714b9f,1.98,USDC,1.98,Coinbase USDC Wallet,,,1.98,USD,,Coinbase Cash (USD),,,,,,,,
08/15/2024 11:36:53,SELL,019223e4-5789-769b-b94b-b63836409f95,1.42,USD,,Coinbase Cash (USD),,,1.424065,USDC,1.42,Coinbase USDC Wallet,,,,,,0,,
